,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
23,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9992409522620711,0.0002855476246323584,0.000135397439093576,4.2727347336292174e-05,0.00015949966062303402,2.394383191162784e-05,0.00011066386114877425,1.2679731832019994e-06,3.8895856418550585e-05,1.5994718803392125
24,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9991215068256046,0.0003264730775464597,0.00017129316445269394,3.7362682117854285e-05,0.00017411516547180092,2.6089727523848047e-05,0.0001416414220434259,1.517935239276059e-06,4.475515441407022e-05,1.5994718803392125
25,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9989871986706428,0.0003712720777486272,0.00021136873172420166,3.496107893647056e-05,0.00018815138255284618,2.8358930314684567e-05,0.00017689917119356746,1.7899568866979e-06,5.15386776614689e-05,1.5994718803392125
26,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9988359435219624,0.00042090929368056806,0.0002560243369797162,3.4675468526446165e-05,0.0002026897046307665,3.076777646127943e-05,0.00021690455319334223,2.085344565627309e-06,5.932263228913525e-05,1.5994718803392125
27,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.998665450512447,0.00047631378846294285,0.00030577166931203606,3.59626838352048e-05,0.00021854233330869093,3.334062346630633e-05,0.00026221277986626657,2.4056093016287154e-06,6.82072703071439e-05,1.5994718803392125
28,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9984731769830614,0.0005384269576823426,0.0003612269087411249,3.848367007496222e-05,0.00023635594619201907,3.61084453259727e-05,0.00031346854961888937,2.7525393033876144e-06,7.831519281902088e-05,0.9857470837350386
29,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9983545954512525,0.0005208941355280464,0.0004171076366332762,4.075661029711921e-05,0.00025645817511638563,3.910386220779409e-05,0.00036795587695526155,3.128252009491651e-06,8.975682630750354e-05,0.9857470837350386
30,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9982390117022685,0.0005046952206810324,0.0004678596053100998,4.181238009305274e-05,0.00027830349447883286,4.2343500687075964e-05,0.0004224389768775483,3.535119603687383e-06,0.00010251496738424479,0.9857470837350386
31,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9981262908992041,0.0004896467599624245,0.0005139104838913425,4.2084286946724356e-05,0.00030131227701458166,4.583435855529796e-05,0.0004769453109719768,3.975623453480858e-06,0.0001165347929097266,0.9857470837350386
32,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9980162930225434,0.00047561138910135587,0.0005556445032800535,4.1859287218739576e-05,0.00032506654703336646,4.957873973803587e-05,0.0005314942205653095,4.452290519771229e-06,0.00013176004253402497,0.9857470837350386
