,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
23,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9993242052431999,0.00025294925397693793,0.0001268216674289358,3.225075124080494e-05,0.0001380209839693674,2.0599609958035978e-05,0.00010401310322349921,1.139387002479843e-06,3.437217900967637e-05,1.5994718803392125
24,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9992196814367149,0.0002881267695179319,0.0001581819939107542,2.9479533753928974e-05,0.0001494227536935582,2.2420085599022555e-05,0.00013133318305125208,1.3542437585632026e-06,3.959305569245293e-05,1.5994718803392125
25,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.999102032378081,0.00032696963253370866,0.00019311913540347598,2.8603122635043434e-05,0.0001609867836567089,2.4345642496635537e-05,0.0001623555014024225,1.5878037908747342e-06,4.559906996757316e-05,1.5994718803392125
26,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.998969468541035,0.0003702265008507826,0.00023202112055851603,2.9132769860036782e-05,0.00017340909414478435,2.639447917486527e-05,0.00019750630268822178,1.8411916877836987e-06,5.246556743169545e-05,1.5994718803392125
27,0.36,0.005,0.2,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9988200063964827,0.0004186497903278997,0.00027535981927171143,3.0755078475335584e-05,0.0001872404545384749,2.8590199547086638e-05,0.00023728251713905912,2.1157442176990047e-06,6.028580655851724e-05,1.5994718803392125
28,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9986881140979654,0.00043634456325876203,0.00032368978132109875,3.327700505561304e-05,0.0002029448555379771,3.096117037027298e-05,0.0002822554667173405,2.4130597734604136e-06,6.917058372068112e-05,0.9857470837350386
29,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.998591577539394,0.0004225836469466656,0.000367383177309502,3.4362906702868494e-05,0.00022061980734027273,3.35352622206678e-05,0.000327202616422384,2.7350436635307294e-06,7.920408683838161e-05,0.9857470837350386
30,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9984974547176705,0.0004098084307583057,0.0004070636970318704,3.474684220154406e-05,0.00023935854689109822,3.631723667872631e-05,0.0003721667387408534,3.0837900271562525e-06,9.030192478802456e-05,0.9857470837350386
31,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9984056276502228,0.00039790127479729254,0.0004430582891856782,3.467628649556242e-05,0.0002588007175241525,3.930977232589665e-05,0.0004171646081169156,3.461401331696782e-06,0.00010241681223792773,0.9857470837350386
32,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9983159780567433,0.00038677089149466974,0.000475663584953232,3.431746350721171e-05,0.00027867910165602777,4.2512547549970766e-05,0.0004622083647546349,3.869989340965886e-06,0.0001155015999187783,0.9857470837350386
33,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.998228389729974,0.0003763444686520331,0.000505150372418942,3.3781701850770915e-05,0.00029879223698648803,4.5922933569479804e-05,0.0005073069072946135,4.311649253710839e-06,0.00012951005347890772,0.9857470837350386
34,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9981427500105711,0.0003665623074581416,0.00053176697645911,3.314325901606892e-05,0.00031898565743199576,4.953651001569866e-05,0.0005524668393687149,4.788439679221775e-06,0.00014439733314332672,0.9857470837350386
35,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9980589506629111,0.0003573741632267079,0.0005557418761057843,3.245137482112233e-05,0.00033913898567781205,5.334745586013875e-05,0.0005976931143921727,5.3023670051946845e-06,0.00016012027369873217,0.9857470837350386
36,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9979768883522772,0.000348736739399265,0.0005772857852720877,3.173842158234889e-05,0.00035915700034156367,5.734885177099799e-05,0.0006429894762204347,5.855373136173634e-06,0.00017663753197241634,0.9857470837350386
37,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.997896464858668,0.0003406119631073471,0.0005965933508778586,3.102541417307083e-05,0.0003789634069638538,6.153291865532091e-05,0.0006883587616838271,6.4493258707834405e-06,0.0001939096470958201,0.9857470837350386
38,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9978175871183866,0.000324980369745774,0.0006251718850692729,2.878298771091159e-05,0.0003951315697021419,6.612152410129332e-05,0.000735138533898394,7.086011385407393e-06,0.0002131889880797573,0.8469123628743992
39,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9977436905105215,0.0003032307670171868,0.0006589285517297625,2.580872956078702e-05,0.00040722891192883836,7.098812974013219e-05,0.000782352998840552,7.771400661246294e-06,0.0002347738616485139,0.8469123628743992
40,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.997674228187313,0.0002833795975668757,0.0006871456183032478,2.3373848879722657e-05,0.0004187011778372866,7.591191589993586e-05,0.0008287538965366936,8.505757663250697e-06,0.00025725926401487417,0.8469123628743992
41,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9976087963988892,0.0002652747461097776,0.0007104227167411517,2.1342163055607516e-05,0.00042960714728393573,8.088669511483029e-05,0.0008743805096325108,9.289623172953048e-06,0.00028052956708596105,0.8469123628743992
42,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9975470322605181,0.00024876921622736195,0.0007293036337562645,1.9617975628662767e-05,0.00043997732418136814,8.59061169544269e-05,0.0009192699970566043,1.0123475677158388e-05,0.0003044812987429264,0.8469123628743992
43,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.997488609090848,0.00023372368734359258,0.0007442801244663739,1.8133292027545e-05,0.0004498253660313516,9.096361750323941e-05,0.0009634570925264319,1.1007729253345963e-05,0.00032902163980968893,0.8469123628743992
44,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9974332324396907,0.000220007842699917,0.0007557959005219838,1.6839150057919557e-05,0.000459155516463514,9.605242111957825e-05,0.0010069739981456438,1.1942731300761486e-05,0.0003540671786521641,0.8469123628743992
45,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9973806366599154,0.00020750090458755702,0.0007642505998672532,1.5699733184982968e-05,0.0004679673689486984,0.00010116557251344241,0.001049850400482999,1.2928760499582392e-05,0.000379542861511943,0.8469123628743992
46,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9973305819178135,0.00019609166806518037,0.0007700036208131597,1.4688366528711976e-05,0.000476258855744388,0.0001062959848703983,0.0010921135609550658,1.3966025209464024e-05,0.0004053810947183296,0.8469123628743992
47,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9972828515638638,0.00018567822673529603,0.0007733777529082261,1.3784787268134378e-05,0.00048402806318083405,0.00011143649488363838,0.0011337884487516714,1.5054662408522945e-05,0.0004315209673008182,0.8469123628743992
48,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9972372498050818,0.00017616751847279098,0.000774662569633995,1.297327828275964e-05,0.0004912742767792059,0.00011657991897319384,0.0011748978955722356,1.6194737204100253e-05,0.0004579075710597171,0.8469123628743992
49,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9971935996337163,0.00016747477489312398,0.000774117568933877,1.2241387051850423e-05,0.0004979985264489701,0.00012171910723237687,0.0012154627588197853,1.7386242903824624e-05,0.0004844914010762806,0.8469123628743992
50,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9971517409767447,0.00015952292879216532,0.0007719750608490171,1.1579041829108223e-05,0.000504203812229772,0.00012684699312660226,0.001255502084818061,1.8629101610390902e-05,0.0005112278237882085,0.8469123628743992
51,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9971115290376332,0.0001522420140419323,0.0007684428096716656,1.0977937924974725e-05,0.0005098951305994143,0.00013195663793480253,0.0012950332669040554,1.9923165289934662e-05,0.0005380766026856481,0.8469123628743992
52,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9970728328069972,0.00014556857928463545,0.0007637064427759554,1.0431108027911482e-05,0.0005150793807249109,0.0001370412695412438,0.00133407219539039,2.1268217257801163e-05,0.0005650014737790776,0.8469123628743992
53,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9970355337226676,0.00013944512807024883,0.0007579316408168618,9.932618275080278e-06,0.0005197652027458522,0.00014209431557185695,0.0013726333978282268,2.266397402413496e-05,0.0005919697645129726,0.8469123628743992
54,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9969995244626408,0.00013381959237179143,0.000751266125083696,9.477350562276166e-06,0.0005239627818982182,0.0001471094311023715,0.0014107301688975893,2.4110087443233286e-05,0.0006189520509241418,0.8469123628743992
